基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="2060AA",景順能源基金A股 美元,Invesco Energy Fund A USD,USD,="LU0123357419",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2060BB",景順能源基金B股 美元,Invesco Energy Fund B USD,USD,="LU0123357849",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2060C6",景順能源基金C(歐元對沖)股 歐元,Invesco Energy Fund C(EUR Hgd) EUR,EUR,="LU0367024782",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2060CC",景順能源基金C股 美元,Invesco Energy Fund C USD,USD,="LU0123358144",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2072AA",景順大中華基金A股 美元,Invesco Greater China Equity Fund A USD,USD,="LU0048816135",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2072BB",景順大中華基金B股 美元,Invesco Greater China Equity Fund B USD,USD,="LU0130708901",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2072CC",景順大中華基金C股 美元,Invesco Greater China Equity Fund C USD,USD,="LU0100600369",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2072DG",景順大中華基金A(澳幣對沖)股 澳幣,Invesco Greater China Equity Fund A (AUD Hgd) AUD,AUD,="LU0955869705",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2072FG",景順大中華基金C (澳幣對沖)股 澳幣,Invesco Greater China Equity Fund C (AUD Hgd) AUD,AUD,="LU0955869887",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2075AA",景順新興歐洲股票基金A股 美元,Invesco Emerging Europe Equity Fund A USD,USD,="LU0028120375",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2075BB",景順新興歐洲股票基金B股 美元,Invesco Emerging Europe Equity Fund B USD,USD,="LU0130708497",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2075CC",景順新興歐洲股票基金C股 美元,Invesco Emerging Europe Equity Fund C USD,USD,="LU0100598522",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2081AA",景順環球股票收益基金A股 美元,Invesco Global Equity Income Fund A USD,USD,="LU0607513230",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2081AB",景順環球股票收益基金A-穩定月配息(澳幣對沖)股 澳幣,Invesco Global Equity Income Fund A-MD-1 (AUD Hgd) AUD,AUD,="LU1297941780",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2081AX",景順環球股票收益基金A-穩定月配息股 美元,Invesco Global Equity Income Fund A-MD-1 USD,USD,="LU1097692070",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2081CC",景順環球股票收益基金C股 美元,Invesco Global Equity Income Fund C USD,USD,="LU0607513404",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2087AC",景順環球指標增值基金A-穩定月配息股 美元,Invesco Global Structured Equity Fund A-MD-1 USD,USD,="LU1297945005",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2087AY",景順環球指標增值基金A-年配息股 美元,Invesco Global Structured Equity Fund A-AD USD,USD,="LU0267984937",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2087CY",景順環球指標增值基金C-年配息股 美元,Invesco Global Structured Equity Fund C-AD USD,USD,="LU0267985157",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2096AQ",景順英國高質債券基金A-季配息股 英鎊,Invesco UK Investment Grade Bond Fund A-QD GBP,GBP,="LU0267985660",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
